#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
Rothia dentocariosa ATCC 17931,ATCC 17931,22767,SAMN00120582 ,PRJNA48447,Terrabacteria group,Actinobacteria,GCA_000164695.2 ,2.50603,53.7,chromosome:NC_014643.1/CP002280.1,-,1,2164,2074,11/3/2010,3/30/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/164/695/GCF_000164695.2_ASM16469v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/695/GCA_000164695.2_ASM16469v2
Rothia aeria,JCM 11412,22767,SAMD00064392 ,PRJDB5208,Terrabacteria group,Actinobacteria,GCA_002355935.1 ,2.58868,56.8,chromosome:AP017895.1,-,1,2855,2799,10/26/2016,10/26/2016,Complete Genome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/355/935/GCA_002355935.1_ASM235593v1
Rothia mucilaginosa,NUM-Rm6536,20957,SAMD00036190 ,PRJDB4139,Terrabacteria group,Actinobacteria,GCA_001548235.1 ,2.29272,59.6,chromosome Unknown:NZ_AP014938.1/AP014938.1,-,1,1791,1717,8/12/2015,4/4/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/548/235/GCF_001548235.1_ASM154823v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/548/235/GCA_001548235.1_ASM154823v1
Rothia mucilaginosa,FDAARGOS_369,20957,SAMN07312413 ,PRJNA231221,Terrabacteria group,Actinobacteria,GCA_002386365.1 ,2.40877,59.5442,chromosome:NZ_CP023510.1/CP023510.1; plasmid unnamed:NZ_CP023509.1/CP023509.1,-,2,1928,1836,9/28/2017,10/1/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/386/365/GCF_002386365.1_ASM238636v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/386/365/GCA_002386365.1_ASM238636v1
Propionibacterium freudenreichii subsp. freudenreichii,DSM 20271,20868,SAMN03263638 ,PRJNA269789,Terrabacteria group,Actinobacteria,GCA_000940845.1 ,2.64917,67.3,chromosome:NZ_CP010341.1/CP010341.1,-,1,2333,2213,3/4/2015,4/3/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/940/845/GCF_000940845.1_ASM94084v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/940/845/GCA_000940845.1_ASM94084v1
Propionibacterium sp. oral taxon 193,F0672,20871,SAMN05413927 ,PRJNA282954,Terrabacteria group,Actinobacteria,GCA_001717565.1 ,2.64921,60.0235,chromosome:NZ_CP017040.1/CP017040.1; plasmid unnamed1:NZ_CP017041.1/CP017041.1,-,2,2680,2467,8/31/2016,4/17/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/717/565/GCF_001717565.1_ASM171756v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/717/565/GCA_001717565.1_ASM171756v1
Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1,CIRM-B1AI,20868,SAMEA2272304 ,PRJEA46291,Terrabacteria group,Actinobacteria,GCA_000091725.1 ,2.61638,67.3,chromosome:NC_014215.1/FN806773.1,-,1,2317,2187,5/26/2010,3/30/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/725/GCF_000091725.1_ASM9172v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/725/GCA_000091725.1_ASM9172v1
Propionibacterium freudenreichii,P.UF1,20868,SAMN05982163 ,PRJNA352541,Terrabacteria group,Actinobacteria,GCA_002117425.1 ,2.63091,67.3,chromosome:NZ_CP018002.1/CP018002.1,-,1,2338,2223,5/2/2017,5/6/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/117/425/GCF_002117425.1_ASM211742v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/117/425/GCA_002117425.1_ASM211742v1
Propionibacterium freudenreichii subsp. shermanii,,20868,SAMEA3716040 ,PRJEB12148,Terrabacteria group,Actinobacteria,GCA_900016155.1 ,2.67504,67.2,chromosome I:NZ_LN997841.1/LN997841.1,-,1,2374,2251,4/19/2016,4/5/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/016/155/GCF_900016155.1_PFREUDJS1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/016/155/GCA_900016155.1_PFREUDJS1
Propionibacterium freudenreichii,,20868,SAMEA3987120 ,PRJEB14036,Terrabacteria group,Actinobacteria,GCA_900086895.1 ,2.66197,67.3,chromosome I:NZ_LT576034.1/LT576034.1,-,1,2365,2228,10/9/2017,10/17/2017,Complete Genome,-,-
Propionibacterium freudenreichii,,20868,SAMEA3987109 ,PRJEB14036,Terrabacteria group,Actinobacteria,GCA_900086925.1 ,2.65466,67.3,chromosome I:NZ_LT576033.1/LT576033.1,-,1,2359,2184,10/9/2017,10/17/2017,Complete Genome,-,-
Propionibacterium freudenreichii,,20868,SAMEA3987076 ,PRJEB14036,Terrabacteria group,Actinobacteria,GCA_900087025.1 ,2.65535,67.2,chromosome I:NZ_LT576032.1/LT576032.1,-,1,2343,2217,10/9/2017,10/17/2017,Complete Genome,-,-
Propionibacterium freudenreichii,,20868,SAMEA3988333 ,PRJEB14036,Terrabacteria group,Actinobacteria,GCA_900087165.1 ,2.65537,67.2,chromosome I:NZ_LT576042.1/LT576042.1,-,1,2326,2201,10/9/2017,10/17/2017,Complete Genome,-,-
Propionibacterium freudenreichii,,20868,SAMEA3988335 ,PRJEB14036,Terrabacteria group,Actinobacteria,GCA_900087185.1 ,2.5374,67.4,chromosome I:NZ_LT576038.1/LT576038.1,-,1,2226,2120,10/9/2017,10/17/2017,Complete Genome,-,-
Propionibacterium freudenreichii,,20868,SAMEA3991702 ,PRJEB14036,Terrabacteria group,Actinobacteria,GCA_900087375.1 ,2.61373,67.3,chromosome II:NZ_LT576787.1/LT576787.1,-,1,2305,2188,10/9/2017,10/17/2017,Complete Genome,-,-
Propionibacterium freudenreichii,,20868,SAMEA3991644 ,PRJEB14036,Terrabacteria group,Actinobacteria,GCA_900087655.1 ,2.50719,67.4,chromosome I:NZ_LT593929.1/LT593929.1,-,1,2202,2111,10/9/2017,10/17/2017,Complete Genome,-,-
Propionibacterium freudenreichii,,20868,SAMEA4076646 ,PRJEB14036,Terrabacteria group,Actinobacteria,GCA_900092755.1 ,2.63366,67.3,chromosome I:NZ_LT599498.1/LT599498.1,-,1,2343,2228,10/9/2017,10/17/2017,Complete Genome,-,-
Propionibacterium freudenreichii,,20868,SAMEA4360960 ,PRJEB14036,Terrabacteria group,Actinobacteria,GCA_900095075.1 ,2.61518,67.3,chromosome I:NZ_LT604998.1/LT604998.1,-,1,2304,2186,10/9/2017,10/18/2017,Complete Genome,-,-
Propionibacterium freudenreichii,,20868,SAMEA4467440 ,PRJEB14036,Terrabacteria group,Actinobacteria,GCA_900097245.1 ,2.70216,67.2618,chromosome I:NZ_LT618783.1/LT618783.1; chromosome II:NZ_LT618784.1/LT618784.1,-,2,2397,2269,10/9/2017,10/17/2017,Complete Genome,-,-
Gemella sp. oral taxon 928,W2231,23566,SAMN04435857 ,PRJNA282954,Terrabacteria group,Firmicutes,GCA_001553915.1 ,1.76968,30.6,chromosome:NZ_CP014233.1/CP014233.1,-,1,1632,1507,2/9/2016,4/11/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/553/915/GCF_001553915.1_ASM155391v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/553/915/GCA_001553915.1_ASM155391v1
Streptococcus pyogenes M1 GAS,SF370,20126,SAMN02604089 ,PRJNA269,Terrabacteria group,Firmicutes,GCA_000006785.2 ,1.85243,38.5,chromosome:NC_002737.2/AE004092.2,-,1,1801,1693,4/10/2001,10/12/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/785/GCF_000006785.2_ASM678v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/785/GCA_000006785.2_ASM678v2
Streptococcus pneumoniae R6,R6,20104,SAMN02603218 ,PRJNA278,Terrabacteria group,Firmicutes,GCA_000007045.1 ,2.03862,39.7,chromosome:NC_003098.1/AE007317.1,-,1,1967,1814,10/3/2001,1/11/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/045/GCF_000007045.1_ASM704v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/045/GCA_000007045.1_ASM704v1
Streptococcus agalactiae 2603V/R,2603V/R,20122,SAMN02604013 ,PRJNA330,Terrabacteria group,Firmicutes,GCA_000007265.1 ,2.16027,35.6,chromosome:NC_004116.1/AE009948.1,-,1,2279,2127,8/28/2002,8/3/2016,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/265/GCF_000007265.1_ASM726v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/265/GCA_000007265.1_ASM726v1
Streptococcus suis BM407,BM407,20103,SAMEA2272697 ,PRJEA32237,Terrabacteria group,Firmicutes,GCA_000026745.1 ,2.17081,41.0468,chromosome:NC_012926.1/FM252032.1; plasmid pBM407:NC_012923.1/FM252033.1,-,2,2136,1947,7/7/2009,8/3/2016,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/745/GCF_000026745.1_ASM2674v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/745/GCA_000026745.1_ASM2674v1
Streptococcus thermophilus JIM 8232,JIM 8232,51009,SAMEA2272807 ,PRJEA68521,Terrabacteria group,Firmicutes,GCA_000253395.1 ,1.9299,38.9,chromosome:NC_017581.1/FR875178.1,-,1,2033,1748,7/4/2011,4/11/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/253/395/GCF_000253395.1_ASM25339v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/253/395/GCA_000253395.1_ASM25339v1
Streptococcus salivarius,NCTC 8618,20120,SAMN03174835 ,PRJNA266841,Terrabacteria group,Firmicutes,GCA_000785515.1 ,2.18892,40.1,chromosome:NZ_CP009913.1/CP009913.1,-,1,2068,1903,11/19/2014,4/2/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/785/515/GCF_000785515.1_ASM78551v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/785/515/GCA_000785515.1_ASM78551v1
Streptococcus mitis B6,B6,20104,SAMEA3138244 ,PRJNA16302,Terrabacteria group,Firmicutes,GCA_000027165.1 ,2.14661,40,chromosome:NC_013853.1/FN568063.1,-,1,2096,2002,2/16/2010,8/28/2016,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/027/165/GCF_000027165.1_ASM2716v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/027/165/GCA_000027165.1_ASM2716v1
Streptococcus dysgalactiae subsp. equisimilis AC-2713,AC-2713,20125,SAMEA3138428 ,PRJNA48119,Terrabacteria group,Firmicutes,GCA_000317855.1 ,2.17944,39.5,chromosome:NC_019042.1/HE858529.1,-,1,2134,1947,10/31/2012,3/31/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/855/GCF_000317855.1_ASM31785v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/855/GCA_000317855.1_ASM31785v1
Streptococcus mutans UA159,UA159,20116,SAMN02604090 ,PRJNA333,Terrabacteria group,Firmicutes,GCA_000007465.2 ,2.03293,36.8,chromosome:NC_004350.2/AE014133.2,-,1,2040,1958,10/25/2002,5/21/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/465/GCF_000007465.2_ASM746v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/465/GCA_000007465.2_ASM746v2
Streptococcus equi subsp. zooepidemicus,H70,20124,SAMEA2272197 ,PRJEA30767,Terrabacteria group,Firmicutes,GCA_000026605.1 ,2.14987,41.5,chromosome:NC_012470.1/FM204884.1,-,1,2049,1901,3/26/2009,5/28/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/605/GCF_000026605.1_ASM2660v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/605/GCA_000026605.1_ASM2660v1
Streptococcus infantarius subsp. infantarius CJ18,CJ18,54197,SAMN02603507 ,PRJNA70717,Terrabacteria group,Firmicutes,GCA_000246835.1 ,2.00825,37.5743,chromosome:NC_016826.1/CP003295.1; plasmid pSICJ18-1:NC_016837.1/CP003296.1,-,2,2066,1756,2/6/2012,4/7/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/246/835/GCF_000246835.1_ASM24683v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/246/835/GCA_000246835.1_ASM24683v1
Streptococcus gordonii str. Challis substr. CH1,Challis substr. CH1,22714,SAMN02603977 ,PRJNA66,Terrabacteria group,Firmicutes,GCA_000017005.1 ,2.19666,40.5,chromosome:NC_009785.1/CP000725.1,-,1,2135,2018,9/11/2007,3/30/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/005/GCF_000017005.1_ASM1700v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/005/GCA_000017005.1_ASM1700v1
Streptococcus uberis 0140J,0140J,22719,SAMEA3138207 ,PRJNA353,Terrabacteria group,Firmicutes,GCA_000009545.1 ,1.85235,36.6,chromosome:NC_012004.1/AM946015.1,-,1,1873,1762,1/28/2009,3/29/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/545/GCF_000009545.1_ASM954v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/545/GCA_000009545.1_ASM954v1
Streptococcus sanguinis SK36,SK36,20112,SAMN02604299 ,PRJNA13942,Terrabacteria group,Firmicutes,GCA_000014205.1 ,2.38843,43.4,chromosome:NC_009009.1/CP000387.1,-,1,2348,2270,2/9/2007,8/28/2016,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/205/GCF_000014205.1_ASM1420v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/205/GCA_000014205.1_ASM1420v1
Streptococcus iniae,YSFST01-82,21292,SAMN03286870 ,PRJNA271544,Terrabacteria group,Firmicutes,GCA_000831485.1 ,2.08696,36.8,chromosome:NZ_CP010783.1/CP010783.1,-,1,2020,1863,2/3/2015,4/3/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/831/485/GCF_000831485.1_ASM83148v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/831/485/GCA_000831485.1_ASM83148v1
Streptococcus intermedius B196,B196,21002,SAMN02603659 ,PRJNA50415,Terrabacteria group,Firmicutes,GCA_000463355.1 ,1.99621,37.6,chromosome:NC_022246.1/CP003857.1,-,1,1967,1830,9/3/2013,4/1/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/463/355/GCF_000463355.1_ASM46335v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/463/355/GCA_000463355.1_ASM46335v1
Streptococcus oralis Uo5,Uo5,20104,SAMEA2272261 ,PRJEA60241,Terrabacteria group,Firmicutes,GCA_000253155.1 ,1.95869,41.1,chromosome:NC_015291.1/FR720602.1,-,1,1974,1835,3/23/2011,3/30/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/253/155/GCF_000253155.1_ASM25315v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/253/155/GCA_000253155.1_ASM25315v1
Streptococcus constellatus subsp. pharyngis C232,C232,21002,SAMN02603657 ,PRJNA42135,Terrabacteria group,Firmicutes,GCA_000463395.1 ,1.93541,38.2,chromosome:NC_022236.1/CP003800.1,-,1,1984,1786,9/3/2013,4/1/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/463/395/GCF_000463395.1_ASM46339v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/463/395/GCA_000463395.1_ASM46339v1
Streptococcus anginosus C238,C238,20109,SAMN02603663 ,PRJNA50425,Terrabacteria group,Firmicutes,GCA_000463505.1 ,2.23364,38.2,chromosome:NC_022239.1/CP003861.1,-,1,2211,2005,9/3/2013,4/1/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/463/505/GCF_000463505.1_ASM46350v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/463/505/GCA_000463505.1_ASM46350v1
Streptococcus gallolyticus subsp. gallolyticus DSM 16831,DSM 16831,54197,SAMN06140979 ,PRJNA357355,Terrabacteria group,Firmicutes,GCA_002000985.1 ,2.4929,37.7,chromosome:NZ_CP018822.1/CP018822.1,-,1,2498,2341,2/16/2017,10/22/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/000/985/GCF_002000985.1_ASM200098v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/000/985/GCA_002000985.1_ASM200098v1
Streptococcus parasanguinis ATCC 15912,ATCC 15912,20107,SAMN00113608 ,PRJNA48315,Terrabacteria group,Firmicutes,GCA_000164675.2 ,2.15365,41.7,chromosome:NC_015678.1/CP002843.1,-,1,2084,1953,6/10/2011,3/30/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/164/675/GCF_000164675.2_ASM16467v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/164/675/GCA_000164675.2_ASM16467v2
Streptococcus parauberis KCTC 11537,KCTC 11537,51036,SAMN02603301 ,PRJNA61187,Terrabacteria group,Firmicutes,GCA_000213825.1 ,2.14389,35.5,chromosome:NC_015558.1/CP002471.1,-,1,2222,1829,5/17/2011,3/30/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/213/825/GCF_000213825.1_ASM21382v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/213/825/GCA_000213825.1_ASM21382v1
Streptococcus cristatus AS 1.3089,AS 1.3089,22715,SAMN02603400 ,PRJNA192658,Terrabacteria group,Firmicutes,GCA_000385925.1 ,2.1421,42.1,chromosome:NC_021175.1/CP004409.1,-,1,2203,1983,5/1/2013,9/10/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/385/925/GCF_000385925.1_ASM38592v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/385/925/GCA_000385925.1_ASM38592v1
Streptococcus pseudopneumoniae IS7493,IS7493,20104,SAMN02603728 ,PRJNA69547,Terrabacteria group,Firmicutes,GCA_000221985.1 ,2.19546,39.7968,chromosome:NC_015875.1/CP002925.1; plasmid pDRPIS7493:NC_015876.1/CP002926.1,-,2,2361,2116,7/29/2011,3/30/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/221/985/GCF_000221985.1_ASM22198v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/221/985/GCA_000221985.1_ASM22198v1
Streptococcus pasteurianus ATCC 43144,ATCC 43144,54197,SAMD00060984 ,PRJDA62519,Terrabacteria group,Firmicutes,GCA_000270165.1 ,2.10008,37.4,chromosome:NC_015600.1/AP012054.1,-,1,2115,1874,5/28/2011,4/7/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/270/165/GCF_000270165.1_ASM27016v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/165/GCA_000270165.1_ASM27016v1
Streptococcus lutetiensis 033,33,20118,SAMN02603123 ,PRJNA72209,Terrabacteria group,Firmicutes,GCA_000441535.1 ,1.97555,37.7,chromosome:NC_021900.1/CP003025.1,-,1,1999,1762,7/26/2013,4/8/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/441/535/GCF_000441535.1_ASM44153v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/441/535/GCA_000441535.1_ASM44153v1
Streptococcus macedonicus ACA-DC 198,ACA-DC 198,54197,SAMEA2272145 ,PRJEA76965,Terrabacteria group,Firmicutes,GCA_000283635.1 ,2.14276,37.5846,chromosome:NC_016749.1/HE613569.1; plasmid pSMA198:NC_016750.1/HE613570.1,-,2,2160,1812,1/16/2012,4/7/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/283/635/GCF_000283635.1_ASM28363v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/283/635/GCA_000283635.1_ASM28363v1
Streptococcus sp. I-P16,,20107,SAMN02343234 ,PRJNA214028,Terrabacteria group,Firmicutes,GCA_000479315.1 ,2.02358,42.1,chromosome:NC_022582.1/CP006776.1,-,1,1979,1838,10/24/2013,4/9/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/479/315/GCF_000479315.1_ASM47931v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/479/315/GCA_000479315.1_ASM47931v1
Streptococcus oralis subsp. tigurinus,osk_001,20104,SAMD00078884 ,PRJDB5718,Terrabacteria group,Firmicutes,GCA_002356415.1 ,1.88901,41.2,chromosome:NZ_AP018338.1/AP018338.1,-,1,1934,1790,7/14/2017,9/27/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/356/415/GCF_002356415.1_ASM235641v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/356/415/GCA_002356415.1_ASM235641v1
Streptococcus pantholopis,TA 26,51910,SAMN04534843 ,PRJNA314407,Terrabacteria group,Firmicutes,GCA_001642085.1 ,2.2413,42,chromosome:NZ_CP014699.1/CP014699.1,-,1,2118,1991,5/11/2016,4/12/2017,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/642/085/GCF_001642085.1_ASM164208v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/642/085/GCA_001642085.1_ASM164208v1
